"Energy with dietary fibre, equated (kJ)",Moisture (water) (g),Nitrogen (g),Ash (g),Alcohol (g),Fructose (g),Glucose (g),Sucrose(g),Maltose (g),Lactose (g),Total sugars (g),Added sugars (g),Free sugars (g),Starch (g),Calcium (Ca) (mg),Copper (Cu) (mg),Iodine (I) (ug),Iron (Fe) (mg),Magnesium (Mg) (mg),Manganese (Mn) (mg),Phosphorus (P) (mg),Potassium (K) (mg),Selenium (Se) (ug),Sodium (Na) (mg),Zinc (Zn) (mg),Retinol (preformed vitamin A) (ug),Beta-carotene (ug),Beta-carotene equivalents (provitamin A) (ug),Vitamin A retinol equivalents (ug),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Niacin derived from tryptophan (mg),Niacin derived equivalents (mg),Pyridoxine (B6) (mg),Cobalamin (B12) (ug),"Folate, natural (ug)",Folic acid (ug),Total folates (ug),Dietary folate equivalents (ug),Vitamin C (mg),Cholecalciferol (D3) (ug),Ergocalciferol (D2) (ug),25-hydroxy cholecalciferol (25-OH D3) (ug),25-hydroxy ergocalciferol (25-OH D2) (ug),Vitamin D3 equivalents (ug),Alpha tocopherol (mg),Vitamin E (mg),"Total saturated fatty acids, equated (%T)","Total monounsaturated fatty acids, equated (%T)",C18:2w6 (%T),C18:3w3 (%T),C20:5w3 (%T),C22:5w3 (%T),C22:6w3 (%T),"Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated (%T)","Total trans fatty acids, imputed (%T)",C16 (g),"Total saturated fatty acids, equated (g)",C18:1 (g),"Total monounsaturated fatty acids, equated (g)",C18:2w6 (g),C18:3w3 (g),C20:5w3 (mg),C22:5w3 (mg),C22:6w3 (mg),"Total polyunsaturated fatty acids, equated (g)","Total long chain omega 3 fatty acids, equated (mg)","Total trans fatty acids, imputed (mg)",Caffeine (mg),Cholesterol (mg),Tryptophan (mg/gN),Tryptophan (mg)
492,75.7,2.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.06,0.0,0.6,22,0.02,200,260,20.0,71,1.7,16,0,0,16,0.14,0.13,5.0,4.28,9.28,0.33,0.7,0,0,0,0,0,0.2,0,0.7,0,3.7,0.3,0.31,30.9,50.5,14.1,1.0,0.0,0.4,0.3,18.4,0.7,0.5,0.95,1.4,1.96,2.29,0.64,0.04,0.0,18.14,13.61,0.83,31.752,21.32,0,84,85.0,252
606,72.8,2.29,1.0,0.0,,0.3,0.0,,0.0,0.3,0.0,0.0,0.0,53,0.07,62.1,2.16,14,0.028,204,159,29.2,170,1.29,148,2,2,148,0.068,0.464,0.0,3.08,3.08,0.01,1.4,94,0,94,94,0,1.4,0,0.9,0,6.03,1.7,1.75,,,,,,,,,,,1.89,2.61,3.73,4.04,1.09,0.07,0.38,8.74,66.8,1.35,75.925,11.22,0,554,,181
826,10.3,0.48,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,190,0.23,17.0,24.0,34,1.1,65,860,6.2,55,0.62,0,0,0,0,0.05,0.0,0.0,0.75,0.75,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,20.6,30.5,43.0,3.6,0.0,0.0,0.0,47.0,0.0,0.0,0.18,0.26,0.37,0.38,0.53,0.04,0.0,0.0,0.0,0.58,0.0,0.0,0,0,92.0,44
849,58.5,5.17,1.2,0.0,,,,,,0.0,0.0,0.0,0.0,9,,0.0,2.58,27,,246,421,14.6,82,6.89,0,35,35,6,0.055,0.033,5.0,4.48,9.48,0.09,3.6,25,0,25,25,0,0.4,0,0.5,0,2.9,0.0,0.0,47.9,44.08,2.0,0.5,0.2,0.4,0.0,3.63,0.55,3.4,1.84,3.55,2.9,3.27,0.15,0.04,11.87,28.19,0.74,0.27,40.808,252.27,0,92,51.0,264
64,94.7,0.21,0.7,0.0,0.6,0.5,0.0,0.0,0.0,1.1,0.0,0.0,0.0,20,0.077,2.1,1.1,13,,25,230,0.8,18,0.28,0,520,580,97,0.05,0.07,0.3,0.16,0.46,0.06,0.0,57,0,57,57,12,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,45.0,9
126,83.8,0.38,8.0,0.0,,,,,,0.4,0.0,0.0,1.3,40,,0.0,1.67,33,,10,40,1.2,2348,0.32,0,83,83,14,0.018,0.139,0.65,0.27,0.92,0.02,0.0,23,0,23,23,4,0.0,0,0.0,0,0.0,0.9,0.88,38.83,10.5,18.5,30.5,0.0,0.2,0.0,50.33,0.167,0.0,,0.27,,0.07,0.13,0.21,0.0,1.15,0.0,0.35,1.149,0.0,0,0,42.0,16
224,86.6,0.22,0.4,0.0,0.0,1.5,0.0,1.6,0.0,3.1,0.0,0.0,7.1,110,0.042,1.2,0.0,6,0.17,83,47,0.0,38,0.08,0,0,0,0,0.07,0.0,0.0,0.26,0.26,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,21.5,46.6,29.8,0.8,0.0,0.0,0.0,30.6,0.0,0.0,0.12,0.16,0.34,0.35,0.22,0.01,0.0,0.0,0.0,0.23,0.0,0.0,0,0,68.0,15
206,89.4,0.0,0.1,0.0,3.0,3.0,6.3,0.0,0.0,12.3,12.3,12.3,0.0,1,0.0,0.8,0.0,0,0.0,10,0,0.0,2,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0.0,0
748,69.6,3.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.062,1.1,0.93,20,0.01,170,330,13.5,58,2.2,5,0,0,5,0.72,0.16,7.0,4.15,11.15,0.41,0.5,9,0,9,9,0,0.4,0,0.0,0,0.4,0.0,0.0,39.7,45.9,10.7,0.8,0.0,0.2,0.2,13.6,0.4,0.7,2.43,4.0,4.23,4.62,1.08,0.08,0.0,20.14,20.14,1.37,40.28,70.49,0,54,73.0,244
187,86.9,0.08,0.5,0.0,4.1,2.2,2.4,0.0,0.0,8.7,0.0,8.7,0.0,7,,0.0,0.4,9,,12,260,0.0,5,0.2,0,0,0,0,0.02,0.02,0.6,0.0,0.6,0.0,0.0,44,0,44,44,5,0.0,0,0.0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
645,70.0,3.13,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.033,0.0,0.31,28,,260,366,24.0,70,0.79,0,0,0,0,0.09,0.1,3.07,2.89,5.96,0.55,2.2,11,0,11,11,0,1.6,0,0.1,0,2.1,2.5,2.47,33.05,37.96,3.9,0.7,6.2,2.1,11.4,26.63,19.637,2.3,1.62,2.51,1.73,2.88,0.3,0.05,467.8,156.61,866.02,2.02,1490.423,174.57,0,63,54.0,170
746,58.1,5.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.1,1.7,2.2,26,0.0,270,350,15.0,49,7.8,0,12,12,2,0.03,0.0,1.0,4.39,5.39,0.13,3.0,25,0,25,25,0,0.2,0,0.1,0,0.7,0.7,0.7,35.72,49.42,5.1,0.8,0.7,1.6,0.2,11.86,2.486,3.0,1.02,1.8,2.15,2.49,0.26,0.04,36.17,78.49,10.58,0.6,125.245,151.54,0,70,51.0,258
776,59.8,5.15,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.02,0.9,3.07,26,0.0,239,275,21.0,43,6.01,9,0,0,9,0.057,0.176,3.7,4.8,10.98,0.07,0.6,14,0,14,14,0,0.0,0,0.8,0,3.97,0.5,0.47,,,,,,,,,,,1.04,2.0,2.5,2.7,0.34,0.06,27.89,53.01,14.37,0.71,95.275,246.79,0,115,,282
890,64.8,3.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.099,1.0,1.8,26,0.012,199,304,8.2,56,2.48,13,0,0,13,0.099,0.226,5.95,2.85,8.8,0.12,1.0,14,0,14,14,0,0.1,0,0.5,0,2.59,0.6,0.61,,,,,,,,,,,2.87,6.38,5.46,5.82,0.46,0.22,26.33,66.13,8.74,0.93,101.208,1154.26,0,66,,168
893,66.9,3.02,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.06,0.8,0.74,18,0.01,201,326,11.7,46,2.41,3,0,0,3,0.594,0.171,8.58,3.75,12.33,0.33,0.7,11,0,11,11,0,1.3,0,0.0,0,1.29,0.3,0.27,,,,,,,,,,,3.68,6.09,6.17,6.67,1.3,0.08,0.0,17.12,11.41,1.56,28.528,75.36,0,50,,220
1488,3.7,1.44,1.6,0.0,1.9,1.2,8.6,0.2,0.0,11.9,7.7,10.3,53.1,27,0.3,15.0,2.6,81,2.47,240,270,14.0,220,1.8,0,0,0,0,0.09,0.02,3.1,1.76,4.86,0.0,0.0,37,0,37,37,0,0.0,0,0.0,0,0.0,0.3,0.45,19.0,27.1,49.9,3.4,0.0,0.0,0.0,53.3,0.0,0.3,0.56,0.65,0.89,0.92,1.7,0.12,0.0,0.0,0.0,1.81,0.0,10.21,0,0,72.0,104
213,65.4,1.09,20.7,0.0,0.0,0.4,3.4,0.6,0.0,4.4,4.4,4.4,0.0,30,0.326,33.0,1.55,118,0.054,12,215,21.0,8255,0.74,0,14,41,7,0.0,0.1,1.8,1.36,3.16,0.4,0.0,51,0,51,51,0,0.0,0,0.0,0,0.0,0.0,0.0,37.5,25.0,12.5,0.0,12.5,0.0,25.0,50.0,37.5,3.2,,0.08,,0.05,0.03,0.0,26.25,0.0,52.5,0.1,78.75,6.78,0,0,74.0,80
1007,55.1,4.37,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.079,1.9,1.94,23,0.0,234,310,9.5,45,6.44,4,12,12,6,0.024,0.017,1.08,3.76,4.84,0.22,1.5,22,0,22,22,0,0.3,0,0.1,0,0.68,0.8,0.83,,,,,,,,,,,3.16,5.51,6.03,7.08,0.29,0.1,19.75,50.52,5.78,0.58,76.044,693.1,0,69,,221
583,71.4,3.42,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.075,1.2,2.16,26,0.0,245,334,14.6,52,4.21,9,0,0,9,0.127,0.202,4.3,3.18,7.48,0.1,0.8,16,0,16,16,0,0.0,0,0.6,0,2.94,0.4,0.42,,,,,,,,,,,1.06,2.16,2.23,2.4,0.29,0.1,28.61,48.92,14.91,0.62,92.436,322.37,0,78,,187
