"Energy with dietary fibre, equated (kJ)",Moisture (water) (g),Nitrogen (g),Ash (g),Alcohol (g),Fructose (g),Glucose (g),Sucrose(g),Maltose (g),Lactose (g),Total sugars (g),Added sugars (g),Free sugars (g),Starch (g),Calcium (Ca) (mg),Copper (Cu) (mg),Iodine (I) (ug),Iron (Fe) (mg),Magnesium (Mg) (mg),Manganese (Mn) (mg),Phosphorus (P) (mg),Potassium (K) (mg),Selenium (Se) (ug),Sodium (Na) (mg),Zinc (Zn) (mg),Retinol (preformed vitamin A) (ug),Beta-carotene (ug),Beta-carotene equivalents (provitamin A) (ug),Vitamin A retinol equivalents (ug),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Niacin derived from tryptophan (mg),Niacin derived equivalents (mg),Pyridoxine (B6) (mg),Cobalamin (B12) (ug),"Folate, natural (ug)",Folic acid (ug),Total folates (ug),Dietary folate equivalents (ug),Vitamin C (mg),Cholecalciferol (D3) (ug),Ergocalciferol (D2) (ug),25-hydroxy cholecalciferol (25-OH D3) (ug),25-hydroxy ergocalciferol (25-OH D2) (ug),Vitamin D3 equivalents (ug),Alpha tocopherol (mg),Vitamin E (mg),"Total saturated fatty acids, equated (%T)","Total monounsaturated fatty acids, equated (%T)",C18:2w6 (%T),C18:3w3 (%T),C20:5w3 (%T),C22:5w3 (%T),C22:6w3 (%T),"Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated (%T)","Total trans fatty acids, imputed (%T)",C16 (g),"Total saturated fatty acids, equated (g)",C18:1 (g),"Total monounsaturated fatty acids, equated (g)",C18:2w6 (g),C18:3w3 (g),C20:5w3 (mg),C22:5w3 (mg),C22:6w3 (mg),"Total polyunsaturated fatty acids, equated (g)","Total long chain omega 3 fatty acids, equated (mg)","Total trans fatty acids, imputed (mg)",Caffeine (mg),Cholesterol (mg),Tryptophan (mg/gN),Tryptophan (mg)
800,62.6,4.46,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.05,2.1,0.7,20,0.01,190,200,20.0,70,1.6,22,0,0,22,0.06,0.25,6.0,6.45,12.45,0.28,0.7,0,0,0,0,0,0.0,0,1.2,0,6.0,0.6,0.56,33.0,53.1,11.8,0.8,0.0,0.0,0.0,13.6,0.0,0.6,1.94,2.74,3.82,4.42,0.98,0.07,0.0,0.0,0.0,1.13,0.0,49.9,0,130,85.0,379
2038,1.5,1.4,3.2,0.0,0.0,0.0,0.4,0.0,2.1,2.5,0.0,0.0,51.0,190,0.075,12.2,0.3,29,,170,230,0.0,1000,1.37,0,770,794,132,0.027,0.02,0.5,1.41,1.91,0.13,0.0,40,0,40,40,0,0.0,0,0.0,0,0.0,4.8,4.8,45.9,42.5,10.3,0.3,0.0,0.0,0.0,10.6,0.0,0.6,9.62,11.3,10.34,10.46,2.54,0.07,0.0,0.0,0.0,2.61,0.0,147.7,0,9,59.0,83
663,69.2,3.26,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.01,0.3,0.56,23,0.0,202,336,10.4,217,1.3,31,0,0,31,0.059,0.052,7.39,4.38,11.77,0.25,0.6,0,0,0,0,0,0.2,0,0.4,0,2.12,0.3,0.31,29.64,31.81,34.2,2.9,0.0,0.2,0.2,38.64,0.336,0.5,1.64,2.39,2.3,2.57,2.76,0.23,0.0,13.57,13.57,3.12,27.142,37.96,0,50,79.0,258
627,65.7,4.58,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.093,0.8,0.94,26,0.011,250,380,28.8,52,2.4,0,0,0,0,1.1,0.07,5.3,5.68,10.98,0.6,0.4,27,0,27,27,0,0.4,0,0.0,0,0.4,0.0,0.0,36.6,42.2,14.0,0.7,0.0,0.6,0.3,20.4,0.9,0.4,0.79,1.26,1.32,1.46,0.48,0.02,0.0,20.75,10.37,0.7,31.122,13.83,0,57,73.0,334
745,62.0,5.92,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.107,0.8,2.28,21,0.0,210,251,25.5,28,7.66,0,10,10,2,0.018,0.126,2.22,5.09,9.12,0.1,0.9,18,0,18,18,1,0.4,0,0.8,0,4.59,0.5,0.54,,,,,,,,,,,0.63,1.12,1.05,1.22,0.17,0.04,32.31,51.66,6.71,0.43,90.689,108.4,0,72,,300
2191,35.2,1.92,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.047,0.8,0.66,14,0.007,100,230,23.8,36,0.58,35,0,0,35,0.52,0.0,3.6,2.38,5.98,0.29,1.4,8,0,8,8,0,6.0,0,0.0,0,6.0,0.4,0.43,37.7,48.2,11.4,0.8,0.0,0.0,0.0,13.0,0.0,0.6,12.08,19.29,23.03,24.67,5.83,0.41,0.0,0.0,0.0,6.65,0.0,307.06,0,32,73.0,140
644,66.1,4.92,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.237,1.2,4.56,26,0.037,240,368,31.6,53,3.03,0,0,0,0,0.138,0.332,5.68,6.19,13.3,0.06,4.4,16,0,16,16,0,0.2,0,0.8,0,4.38,0.0,0.0,,,,,,,,,,,0.56,0.96,1.21,1.32,0.51,0.03,0.0,6.22,3.11,0.75,9.326,9.32,0,80,,364
574,75.0,1.99,1.0,0.0,0.1,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.4,39,0.065,47.3,1.61,10,0.028,131,107,26.6,127,1.24,39,2,2,39,0.06,0.38,0.04,2.67,2.72,0.01,1.4,83,0,83,83,0,1.4,0,0.9,0,5.9,6.6,8.96,32.5,50.29,13.8,0.9,0.0,0.1,0.8,17.04,0.93,0.1,1.86,2.56,3.66,3.96,1.08,0.07,0.39,7.88,65.0,1.34,73.28,9.46,0,488,79.0,157
650,65.0,5.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.196,1.7,2.6,30,0.0,260,400,13.0,48,6.0,0,12,12,2,0.03,0.0,1.0,4.39,5.39,0.09,1.1,25,0,25,25,0,0.2,0,0.1,0,0.7,0.7,0.7,36.49,48.05,6.1,0.5,0.5,1.5,0.2,13.05,2.175,2.4,0.52,0.97,1.13,1.28,0.16,0.01,12.4,39.13,6.24,0.35,57.777,64.04,0,81,51.0,258
946,60.0,2.5,2.6,0.0,0.4,0.6,0.3,0.0,0.0,1.3,0.0,0.0,3.6,11,,4.3,1.37,68,,200,1003,8.5,1050,3.05,26,170,170,54,0.0,0.32,0.0,2.19,2.19,0.06,2.8,0,0,0,0,1,0.0,0,0.2,0,1.2,0.5,0.5,48.57,39.18,2.2,1.8,0.0,0.3,0.0,4.52,0.287,2.8,3.22,7.43,5.52,5.99,0.34,0.27,0.0,43.9,0.0,0.69,43.897,423.21,0,56,52.0,129
424,70.2,0.24,0.3,0.0,1.0,1.2,17.8,0.0,0.0,19.8,17.0,17.0,0.0,6,,0.2,0.3,14,,34,100,0.3,10,0.4,0,180,375,62,0.015,0.07,1.25,0.33,1.58,0.05,0.0,7,0,7,7,9,0.0,0,0.0,0,0.0,0.0,0.01,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,19
2315,31.0,1.73,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.41,6,0.0,56,91,0.0,22,0.54,34,0,0,34,0.0,0.07,2.0,1.61,3.61,0.1,2.9,4,0,4,4,0,0.7,0,0.0,0,0.7,1.1,1.1,46.9,37.89,2.5,1.8,0.0,0.2,0.0,4.83,0.256,9.7,11.07,25.75,19.58,20.8,1.39,0.99,0.0,140.71,0.0,2.65,140.708,5330.09,0,62,55.0,95
112,91.0,0.4,0.5,0.0,1.1,0.4,0.4,0.0,0.0,1.9,0.0,0.0,0.3,15,,0.0,0.36,19,,40,185,0.0,2,1.37,0,55,82,14,0.042,0.072,0.75,0.43,1.5,0.09,0.0,15,0,15,15,10,0.0,0,0.0,0,0.0,0.6,0.62,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,25
491,72.8,3.25,1.1,0.0,,,,,,0.0,0.0,0.0,0.0,5,0.12,1.2,2.0,24,0.0,240,365,11.0,69,2.55,4,0,0,4,0.1,0.255,5.6,3.03,8.63,0.1,0.9,17,0,17,17,0,0.0,0,0.6,0,3.0,0.6,0.64,,,,,,,,,,,0.89,1.82,1.53,1.6,0.09,0.05,10.85,14.47,0.0,0.2,25.327,168.12,0,66,,178
1818,39.9,3.57,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0.08,2.1,1.2,25,0.03,260,220,30.0,78,1.5,130,0,0,130,0.0,0.19,6.0,4.79,10.79,0.2,0.7,0,0,0,0,0,2.6,0,1.0,0,7.6,2.1,2.1,32.2,53.8,12.5,1.1,0.0,0.0,0.0,14.0,0.0,0.6,8.38,11.84,17.06,19.78,4.6,0.4,0.0,0.0,0.0,5.15,0.0,220.56,0,180,79.0,282
204,85.8,0.17,0.4,0.0,3.5,2.9,0.1,0.0,0.0,6.5,0.0,0.0,0.2,24,0.095,0.0,0.54,20,0.505,34,141,1.0,1,0.32,0,26,26,4,0.033,0.025,0.3,0.23,0.53,0.05,0.0,32,0,32,32,20,0.0,0,0.0,0,0.0,0.7,0.67,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,13
255,87.3,0.05,0.4,0.0,0.0,0.5,0.0,3.2,0.0,3.7,0.0,0.0,9.0,70,0.01,5.1,0.2,10,0.087,18,22,0.0,62,0.07,0,0,0,0,0.02,0.0,0.0,0.11,0.11,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.3,0.3,17.3,49.1,31.9,0.9,0.0,0.0,0.0,32.8,0.0,2.2,0.1,0.16,0.47,0.47,0.3,0.01,0.0,0.0,0.0,0.31,0.0,21.51,0,0,125.0,6
334,75.0,0.78,1.6,0.0,0.7,1.2,0.2,0.0,0.0,2.1,1.4,1.4,8.0,39,0.181,1.5,1.01,27,0.315,86,240,3.6,378,0.51,0,30,30,5,0.045,0.02,0.3,1.18,1.48,0.02,0.0,50,0,50,50,2,0.0,0,0.0,0,0.0,0.2,0.32,16.73,15.42,29.7,38.2,0.0,0.0,0.0,67.85,0.0,0.0,0.03,0.04,0.04,0.04,0.08,0.1,0.0,0.0,0.0,0.18,0.0,0.0,0,0,89.0,69
283,82.8,0.64,1.7,0.0,0.6,0.5,1.1,0.0,0.0,2.2,0.6,0.6,5.6,10,0.039,7.9,0.53,9,,48,170,1.3,320,0.39,0,270,320,53,0.0,0.02,0.0,0.49,0.49,0.0,0.0,158,0,158,158,0,0.1,0,0.0,0,0.08,0.0,0.0,43.0,45.5,6.0,1.3,0.0,0.2,0.0,7.7,0.2,3.3,0.47,0.86,0.81,0.91,0.12,0.02,0.0,3.99,0.0,0.15,3.99,65.84,0,20,45.0,29
1455,12.6,2.1,2.3,0.0,,,,,,4.3,0.0,0.0,46.3,58,,0.5,4.3,196,,408,563,6.0,6,3.3,0,8,8,1,0.1,0.02,0.0,2.63,2.63,0.5,0.0,184,0,184,184,0,0.0,0,0.0,0,0.0,2.1,2.1,13.6,31.8,49.4,4.3,0.0,0.0,0.8,54.5,0.779,0.0,,0.81,,1.89,2.93,0.26,0.0,0.0,46.27,3.24,46.273,0.0,0,0,74.0,155
1090,54.2,2.48,1.0,0.0,0.0,0.3,0.5,0.7,0.0,1.5,0.0,0.0,15.0,11,0.049,3.4,0.4,24,0.23,220,310,27.3,295,0.38,12,0,0,12,0.1,0.0,5.2,2.61,7.81,0.38,0.2,0,0,0,0,0,0.3,0,0.0,0,0.3,3.1,3.1,24.59,43.46,25.9,3.0,0.1,0.1,0.4,29.64,0.58,2.0,2.15,3.39,5.75,5.99,3.57,0.41,12.41,11.03,56.52,4.08,79.961,275.73,0,29,62.0,154
661,65.2,5.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.129,11.0,3.4,23,0.0,202,320,16.7,73,5.95,2,0,0,2,0.053,0.047,3.65,4.66,8.31,0.02,2.6,19,0,19,19,0,0.2,0,0.4,0,2.2,0.7,0.72,,,,,,,,,,,0.66,1.52,1.13,1.24,0.13,0.04,24.69,40.23,6.41,0.35,71.333,186.35,0,120,,274
606,70.3,4.09,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.14,1.2,2.5,30,0.017,295,340,15.0,68,3.2,9,0,0,9,0.145,0.23,6.9,3.81,10.71,0.16,1.0,17,0,17,17,0,0.0,0,0.6,0,3.0,0.4,0.45,,,,,,,,,,,0.81,1.6,1.85,1.99,0.22,0.04,22.6,38.67,9.28,0.47,70.56,190.44,0,69,,224
1555,18.7,0.8,1.8,0.0,0.0,0.0,35.0,0.5,1.2,36.7,34.3,34.3,16.0,4,0.1,15.6,0.5,10,0.29,190,77,4.0,420,0.7,36,107,107,54,0.05,0.08,0.7,0.62,1.32,0.02,0.1,10,0,10,10,0,0.0,0,0.0,0,0.0,0.2,0.23,18.48,54.1,15.8,6.9,0.0,0.0,0.1,23.06,0.065,1.3,1.62,2.85,8.05,8.34,2.44,1.07,0.0,0.0,10.02,3.56,10.023,200.46,0,54,46.0,37
1250,9.3,3.6,3.7,0.0,0.0,0.0,3.4,0.0,0.0,3.4,0.0,0.0,32.2,95,0.91,0.0,5.6,140,1.1,520,1470,4.0,3,3.0,0,7,7,1,0.39,0.15,3.0,4.59,7.59,0.51,0.0,394,0,394,394,0,0.0,0,0.0,0,0.0,0.0,0.27,18.72,9.97,27.7,43.6,0.0,0.0,0.0,71.28,0.0,0.0,0.24,0.27,0.14,0.14,0.4,0.63,0.0,0.0,0.0,1.03,0.0,0.0,0,0,75.0,270
1778,8.2,0.72,1.2,0.0,0.0,3.4,35.9,1.9,3.1,44.3,37.7,37.7,6.2,87,0.27,0.0,1.8,41,0.53,130,310,2.0,130,0.9,37,10,10,39,0.0,0.19,0.54,0.68,1.22,0.02,0.1,17,0,17,17,0,0.0,0,0.0,0,0.0,0.2,0.21,81.2,16.4,2.1,0.2,0.0,0.0,0.0,2.3,0.0,0.5,3.51,17.39,3.47,3.51,0.45,0.04,0.0,0.0,0.0,0.49,0.0,115.64,6,8,56.0,40
116,90.1,0.11,0.5,0.0,1.0,3.4,0.0,0.0,0.0,4.5,0.0,0.0,0.0,16,0.044,0.0,0.12,9,0.107,20,183,0.0,0,0.07,0,347,347,58,0.0,0.0,0.0,0.13,0.13,0.03,0.0,9,0,9,9,7,0.0,0,0.0,0,0.0,0.2,0.25,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,8
751,62.4,1.62,1.4,0.0,0.8,0.8,0.3,0.0,1.1,3.0,0.0,0.0,13.2,91,0.125,9.6,1.01,22,0.282,139,324,6.0,112,1.48,35,268,332,91,0.034,0.106,1.29,1.69,3.0,0.02,0.3,5,0,5,5,0,0.1,0,0.1,0,0.59,0.6,0.65,,,,,,,,,,,2.05,4.39,2.0,2.24,0.31,0.06,3.34,5.98,0.0,0.41,9.316,166.14,0,24,,99
677,63.2,5.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.037,5.4,0.65,37,0.013,300,583,23.3,88,3.0,0,0,0,0,0.0,0.032,6.33,5.98,12.32,0.09,0.2,0,0,0,0,0,0.3,0,0.8,0,4.05,0.0,0.0,,,,,,,,,,,0.45,0.64,0.88,0.97,0.39,0.03,4.58,13.74,29.77,0.58,48.09,9.16,0,130,,352
1559,3.4,1.14,2.2,0.0,0.2,0.0,6.0,0.0,0.0,6.2,5.7,5.7,75.0,6,0.158,3.7,15.5,25,1.165,98,101,13.8,658,7.8,0,0,0,0,1.4,1.9,11.26,1.5,12.76,0.0,0.0,70,180,250,371,33,0.0,0,0.0,0,0.0,0.0,0.0,21.3,37.0,39.6,1.4,0.0,0.0,0.0,41.0,0.0,0.1,0.17,0.2,0.34,0.34,0.37,0.01,0.0,0.0,0.0,0.38,0.0,0.94,0,0,77.0,88
254,76.1,0.68,6.0,0.0,,,,,,1.8,0.0,0.0,0.0,289,,6.6,2.98,14,,34,29,0.0,2853,0.4,0,2838,2838,473,0.064,0.364,4.5,0.0,4.5,0.14,0.0,78,0,78,78,11,0.0,0,0.0,0,0.0,1.8,1.79,22.66,5.52,10.6,61.2,0.0,0.0,0.0,71.82,0.0,0.0,,0.36,,0.09,0.17,0.96,0.0,0.0,0.0,1.13,0.0,0.0,0,0,0.0,0
109,90.3,0.11,0.1,0.0,2.4,2.1,0.0,0.0,0.0,4.5,0.0,0.0,0.0,13,,0.0,0.8,5,,10,38,0.0,1,0.1,0,0,0,0,0.02,0.04,0.5,0.11,0.61,0.03,0.0,34,0,34,34,8,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,60.0,7
392,77.8,0.52,0.7,0.0,0.0,0.0,7.2,0.5,3.9,11.6,4.0,4.0,2.3,120,0.01,13.0,0.05,11,0.005,120,165,1.0,61,0.39,5,15,15,8,0.05,0.21,0.0,0.64,0.64,0.01,0.2,2,0,2,2,0,0.1,0,0.0,0,0.08,0.0,0.03,69.4,25.04,1.6,0.8,0.0,0.1,0.0,2.5,0.075,3.5,0.77,1.96,,0.71,0.04,0.02,0.0,2.12,0.0,0.07,2.119,98.89,0,11,72.0,37
577,73.0,0.03,0.2,13.6,6.3,4.8,0.0,0.0,0.0,11.1,0.0,11.1,0.0,4,0.01,0.0,0.1,6,0.06,13,53,0.0,18,0.06,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
388,80.2,1.4,1.2,0.0,1.4,1.3,0.5,0.0,0.0,3.2,0.0,0.0,0.6,16,0.12,2.3,1.4,20,0.12,87,450,4.5,56,1.8,0,440,550,92,0.03,0.06,1.7,1.32,3.02,0.0,0.3,0,0,0,0,0,0.1,0,0.2,0,0.94,0.8,0.8,38.4,50.6,6.0,1.1,0.1,0.2,0.0,7.8,0.3,1.0,0.85,1.47,1.79,1.94,0.23,0.04,3.82,7.65,0.0,0.3,11.475,38.25,0,19,56.0,78
742,61.4,4.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.17,1.2,2.6,29,0.016,340,310,30.0,65,5.3,8,0,0,8,0.14,0.32,5.2,4.56,9.76,0.05,2.2,17,0,17,17,0,0.0,0,0.3,0,1.5,0.2,0.2,38.71,44.0,6.5,1.9,0.7,1.0,0.4,13.21,2.017,4.0,1.12,2.13,2.21,2.42,0.36,0.1,37.92,53.15,19.78,0.73,110.854,221.05,0,80,55.0,268
1132,54.0,5.07,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.19,1.0,2.77,29,0.017,253,300,26.0,60,5.15,12,0,0,12,0.147,0.355,6.65,4.72,11.38,0.08,3.0,15,0,15,15,0,0.2,0,0.2,0,1.51,0.3,0.28,,,,,,,,,,,3.1,6.46,5.72,6.24,0.67,0.28,55.78,97.86,29.1,1.38,182.737,857.26,0,90,,278
745,68.2,4.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,0.0,130.1,0.55,36,0.0,362,532,54.8,122,0.55,14,0,0,14,0.078,0.096,7.26,4.98,12.24,0.34,3.0,0,0,0,0,0,1.8,0,0.1,0,2.3,0.6,0.6,,,,,,,,,,,1.65,2.72,1.77,2.8,0.08,0.04,579.2,207.37,572.05,1.69,1358.63,142.3,0,86,,293
332,76.6,2.6,1.8,0.0,0.0,0.4,0.0,,0.0,0.4,0.0,0.0,0.0,29,0.31,50.5,2.33,69,0.037,152,250,20.5,390,1.05,0,14,14,2,0.0,0.37,2.0,3.1,5.1,0.09,15.0,23,0,23,23,0,0.0,0,0.0,0,0.0,0.9,0.94,35.54,20.5,8.5,1.0,10.3,11.2,2.7,41.06,24.215,0.7,0.11,0.16,0.07,0.1,0.04,0.0,48.08,52.04,12.48,0.19,112.6,3.26,0,136,70.0,182
384,81.3,0.41,0.4,0.0,0.4,0.5,4.3,0.3,0.0,5.5,5.2,5.4,3.7,34,0.092,1.3,0.39,30,0.29,52,82,0.0,5,0.28,0,0,0,0,0.02,0.08,0.0,0.34,0.34,0.03,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,2.1,2.1,9.6,65.1,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.28,0.41,2.75,2.77,0.98,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0,0,49.0,20
731,67.7,3.42,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.136,1.3,1.78,21,0.0,182,327,14.1,55,5.04,5,10,10,6,0.053,0.182,2.88,2.94,5.82,0.12,1.5,20,0,20,20,1,0.4,0,0.6,0,3.47,0.5,0.52,,,,,,,,,,,2.27,4.0,3.76,4.41,0.25,0.08,40.15,47.23,7.4,0.53,94.786,449.06,0,56,,173
697,62.0,1.09,0.6,0.0,0.0,0.0,0.1,0.1,0.8,1.0,0.0,0.0,20.5,79,0.119,8.7,0.58,23,0.375,101,63,5.0,59,0.72,37,23,23,41,0.05,0.066,0.26,1.09,1.35,0.01,0.4,19,0,19,19,0,0.0,0,0.0,0,0.02,0.1,0.13,,,,,,,,,,,1.53,3.47,1.06,1.21,0.2,0.04,3.65,3.52,0.0,0.29,7.171,214.3,0,16,,64
1653,6.9,0.98,1.4,0.0,1.3,3.0,13.0,1.7,1.1,20.1,12.6,14.8,44.0,37,0.26,0.0,1.6,68,1.69,225,272,3.0,70,1.18,2,158,214,38,0.21,0.22,1.1,1.53,2.63,0.09,0.0,20,0,20,20,0,0.0,0,0.0,0,0.0,0.6,0.6,60.9,29.3,10.0,0.4,0.0,0.0,0.0,10.4,0.0,0.6,2.29,6.65,3.18,3.2,1.09,0.04,0.0,0.0,0.0,1.14,0.0,67.41,2,7,92.0,90
437,74.2,3.82,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.298,46.8,0.03,50,0.011,326,412,45.2,268,1.49,0,5,5,1,0.0,0.06,2.8,3.05,5.85,0.34,1.0,16,0,16,16,0,0.0,0,0.0,0,0.0,1.6,1.65,31.83,22.44,2.1,0.6,15.6,2.1,13.5,44.88,31.317,0.3,0.07,0.16,0.06,0.11,0.01,0.0,79.81,10.96,68.95,0.23,159.717,1.53,0,461,47.0,180
1552,12.3,0.91,3.2,0.0,4.2,5.6,29.1,2.4,3.5,44.8,38.6,38.6,20.1,272,0.267,6.8,6.59,99,1.218,115,870,5.3,104,0.79,23,2,2,24,0.015,0.098,1.55,1.2,2.75,0.28,0.0,11,0,11,11,1,0.0,0,0.0,0,0.0,0.3,0.37,,,,,,,,,,,2.51,6.02,2.8,2.87,0.29,0.02,0.0,0.0,0.0,0.32,0.0,47.54,6,6,,71
792,65.2,4.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.21,1.2,3.4,24,0.0,240,280,10.0,56,5.9,8,0,0,8,0.03,0.0,2.0,4.44,6.44,0.5,1.9,0,0,0,0,0,0.2,0,0.1,0,0.7,0.8,0.8,38.52,44.68,5.4,2.1,0.8,0.9,0.4,11.69,2.102,5.1,1.36,2.72,2.93,3.15,0.38,0.15,56.85,63.48,27.93,0.82,148.258,356.89,0,63,55.0,261
1362,10.3,1.97,1.5,0.0,,,,,,1.3,0.0,0.0,56.9,35,,3.0,3.43,120,,302,315,15.6,2,2.0,0,0,0,0,0.456,0.1,4.18,2.06,6.25,0.2,0.0,47,0,47,47,0,0.0,0,0.0,0,0.0,0.9,0.93,20.8,20.8,58.7,3.8,0.0,0.0,0.0,62.5,0.0,0.0,,0.36,,0.36,1.01,0.06,0.0,0.0,0.0,1.08,0.0,0.0,0,0,63.0,122
192,85.7,0.13,0.4,0.0,3.4,2.3,2.4,0.0,0.0,8.2,0.0,3.6,0.0,12,,0.4,0.46,10,,17,189,0.0,4,0.26,0,478,578,96,0.026,0.032,0.6,0.1,0.7,0.03,0.0,19,0,19,19,5,0.0,0,0.0,0,0.0,0.4,0.36,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,6
1078,57.8,3.66,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0.045,0.0,0.35,32,2.748,290,409,26.0,36,0.47,2,0,44,9,0.096,0.112,3.43,3.38,6.81,0.55,2.0,0,0,0,0,0,4.9,0,0.1,0,5.36,2.8,2.78,,,,,,,,,,,2.77,4.21,6.02,7.9,1.49,0.2,912.25,420.12,1117.75,4.8,2450.116,536.38,0,71,,199
578,71.5,3.45,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.014,1.2,2.15,26,0.0,244,333,14.6,52,4.19,9,0,0,9,0.126,0.196,4.14,3.22,7.36,0.09,0.8,16,0,16,16,0,0.0,0,0.6,0,2.94,0.4,0.42,,,,,,,,,,,1.0,2.05,2.2,2.36,0.27,0.07,18.43,38.99,9.5,0.54,66.92,312.87,0,78,,189
668,68.4,3.55,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.122,1.3,1.97,24,0.0,202,340,8.7,54,3.91,4,10,10,5,0.05,0.195,4.65,3.06,7.71,0.14,0.9,20,0,20,20,1,0.4,0,0.6,0,3.54,0.7,0.69,,,,,,,,,,,1.8,3.17,2.98,3.49,0.19,0.06,24.95,30.44,4.76,0.39,60.146,358.91,0,52,,180
1897,24.8,0.97,1.4,0.0,,,,,,25.5,24.9,24.9,7.0,36,,21.3,2.04,45,,127,242,8.8,308,1.03,178,29,29,183,0.041,0.171,0.77,1.32,2.1,0.02,0.4,30,0,30,30,0,0.6,0,0.2,0,1.79,1.0,1.04,,,,,,,,,,,,21.87,,8.52,0.89,0.18,0.1,2.26,16.59,1.12,18.944,588.03,19,183,,78
202,84.9,0.05,0.2,0.0,6.6,2.4,1.5,0.0,0.0,10.5,0.0,0.0,0.0,4,0.03,0.0,0.16,4,0.0,8,90,0.0,2,0.07,0,10,15,2,0.02,0.01,0.1,0.04,0.14,0.04,0.0,59,0,59,59,5,0.0,0,0.0,0,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,46.0,2
860,45.0,0.9,2.1,0.0,0.1,0.1,0.2,1.5,0.0,1.9,0.0,0.0,39.8,92,0.24,70.9,1.0,19,0.43,174,88,0.0,1051,0.36,0,0,0,0,0.509,0.0,1.0,1.09,2.09,0.05,0.1,13,123,136,218,0,0.0,0,0.0,0,0.0,0.1,0.07,23.0,13.9,59.5,3.6,0.0,0.0,0.0,63.1,0.0,1.1,0.15,0.16,0.09,0.1,0.42,0.02,0.0,0.0,0.0,0.45,0.0,7.83,0,0,65.0,64
